epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11540.4,0.9055,0.7692,0.97577,0.69161,0.64014,0.65522,0.48334,1.0229,0.89615,0.99959,0.000828443,0.000828443,0.000828443
43,12815.5,0.89969,0.76379,0.97418,0.69092,0.64028,0.65553,0.48413,1.02127,0.89495,0.9988,0.000820525,0.000820525,0.000820525
44,14084.7,0.90034,0.7648,0.97428,0.69408,0.6399,0.65671,0.48497,1.02,0.89333,0.99806,0.000812468,0.000812468,0.000812468
45,15377.4,0.89821,0.76385,0.97326,0.69356,0.64039,0.65735,0.48539,1.01852,0.89166,0.99731,0.000804277,0.000804277,0.000804277
46,16648.5,0.89895,0.76193,0.97408,0.69409,0.64197,0.65822,0.48611,1.01727,0.89008,0.99663,0.000795954,0.000795954,0.000795954
47,17918.6,0.90032,0.76035,0.97397,0.69303,0.64334,0.65898,0.48681,1.01575,0.88886,0.9958,0.000787503,0.000787503,0.000787503
48,19186,0.89774,0.76039,0.97364,0.69284,0.64439,0.65978,0.48742,1.01433,0.88752,0.99505,0.000778929,0.000778929,0.000778929
49,20457.1,0.8932,0.75425,0.9707,0.69481,0.64301,0.66049,0.48832,1.01334,0.88609,0.99463,0.000770234,0.000770234,0.000770234
50,1381.72,0.86295,0.73057,0.95842,0.69356,0.64589,0.66052,0.48811,1.01347,0.88559,0.99473,0.000761423,0.000761423,0.000761423
51,2659.04,0.8716,0.73887,0.96212,0.69393,0.64504,0.66073,0.4885,1.0133,0.88517,0.99459,0.0007525,0.0007525,0.0007525
52,3888.36,0.88772,0.74876,0.96759,0.69494,0.64561,0.66099,0.4886,1.0132,0.88472,0.99476,0.000743468,0.000743468,0.000743468
53,5104.56,0.88992,0.7527,0.97016,0.6951,0.64588,0.66137,0.48889,1.01287,0.88416,0.99461,0.000734332,0.000734332,0.000734332
54,6322.73,0.88251,0.74493,0.96671,0.69501,0.64682,0.66176,0.48914,1.01274,0.88334,0.99449,0.000725094,0.000725094,0.000725094
55,7532.36,0.88418,0.74527,0.96651,0.69734,0.64402,0.66197,0.48948,1.01258,0.88263,0.99445,0.000715761,0.000715761,0.000715761
56,8736.88,0.88385,0.74539,0.96719,0.698,0.6436,0.66269,0.48999,1.01214,0.88173,0.99423,0.000706335,0.000706335,0.000706335
57,9949.64,0.87678,0.73703,0.96413,0.69934,0.64265,0.66304,0.49057,1.01182,0.88083,0.99398,0.00069682,0.00069682,0.00069682
58,11164.5,0.8784,0.73552,0.96427,0.70106,0.6417,0.6633,0.49115,1.01144,0.87978,0.99374,0.000687222,0.000687222,0.000687222
59,12357.5,0.87489,0.73252,0.96335,0.6994,0.64369,0.66346,0.49137,1.01109,0.87891,0.99332,0.000677543,0.000677543,0.000677543
60,13551.3,0.87433,0.73236,0.96368,0.70022,0.64522,0.66451,0.49188,1.01032,0.87792,0.99301,0.000667789,0.000667789,0.000667789
61,1277.29,0.83612,0.7018,0.94815,0.70125,0.64443,0.66413,0.49178,1.01079,0.87774,0.99321,0.000657963,0.000657963,0.000657963
62,2533.34,0.8472,0.71174,0.95259,0.70196,0.6438,0.66466,0.49194,1.01077,0.8774,0.99328,0.000648071,0.000648071,0.000648071
63,3759.96,0.86415,0.72319,0.95827,0.70298,0.64281,0.66518,0.49222,1.01062,0.87693,0.9932,0.000638115,0.000638115,0.000638115
64,5001.61,0.86873,0.72787,0.96207,0.70337,0.64327,0.66544,0.49232,1.01055,0.87658,0.99323,0.000628101,0.000628101,0.000628101
65,1372.66,0.82416,0.69106,0.94388,0.70374,0.64274,0.66559,0.49219,1.01091,0.8764,0.99337,0.000618034,0.000618034,0.000618034
66,2729.16,0.83818,0.70224,0.94905,0.70314,0.64357,0.66586,0.4923,1.01125,0.87618,0.99362,0.000607916,0.000607916,0.000607916
67,4082.92,0.85834,0.71708,0.9562,0.7023,0.64476,0.66605,0.49222,1.01126,0.87576,0.99374,0.000597754,0.000597754,0.000597754
68,5435.98,0.86211,0.72163,0.95924,0.70372,0.64401,0.6663,0.49243,1.01111,0.87541,0.99378,0.000587551,0.000587551,0.000587551
69,6789.29,0.85841,0.71797,0.95758,0.70094,0.64551,0.66622,0.49229,1.01127,0.87509,0.99391,0.000577311,0.000577311,0.000577311
70,8141.11,0.86203,0.71994,0.95804,0.70326,0.6444,0.66647,0.49269,1.01115,0.87456,0.99376,0.00056704,0.00056704,0.00056704
71,9497.82,0.86124,0.71991,0.95849,0.70173,0.64609,0.66683,0.49307,1.01085,0.87385,0.99358,0.000556742,0.000556742,0.000556742
72,10854,0.85655,0.71428,0.95657,0.7019,0.64553,0.6668,0.49323,1.01041,0.87315,0.99334,0.000546421,0.000546421,0.000546421
73,12207.7,0.85905,0.71328,0.95669,0.70115,0.64619,0.66693,0.49357,1.01015,0.87247,0.99324,0.000536081,0.000536081,0.000536081
74,13558.4,0.85631,0.71008,0.95667,0.7012,0.64647,0.66744,0.49406,1.00956,0.87183,0.99299,0.000525728,0.000525728,0.000525728
75,14911.9,0.85802,0.71241,0.95685,0.70118,0.64575,0.66799,0.49458,1.00895,0.87094,0.99267,0.000515366,0.000515366,0.000515366
76,16265.8,0.85754,0.71258,0.95664,0.70215,0.64603,0.66862,0.49508,1.00843,0.87026,0.99234,0.000505,0.000505,0.000505
77,17625,0.85967,0.71255,0.95809,0.70354,0.6456,0.66914,0.49548,1.0076,0.86926,0.99186,0.000494634,0.000494634,0.000494634
78,18979.1,0.85992,0.71093,0.95844,0.70386,0.64675,0.6698,0.49601,1.00663,0.86831,0.99139,0.000484272,0.000484272,0.000484272
79,1229.43,0.80052,0.66426,0.935,0.70425,0.64717,0.66985,0.49577,1.00718,0.86842,0.99159,0.000473919,0.000473919,0.000473919
80,2444.61,0.8113,0.67146,0.93883,0.70282,0.64769,0.67006,0.49584,1.00777,0.86837,0.99175,0.000463579,0.000463579,0.000463579
81,3690.62,0.83164,0.68517,0.94551,0.70177,0.64988,0.67007,0.49572,1.00789,0.86808,0.99176,0.000453258,0.000453258,0.000453258
82,4914.6,0.8361,0.69092,0.94909,0.70012,0.65173,0.67025,0.49583,1.00765,0.8679,0.99137,0.00044296,0.00044296,0.00044296
83,6127.84,0.83166,0.6879,0.94734,0.70195,0.64921,0.67025,0.49577,1.00764,0.86777,0.99138,0.000432689,0.000432689,0.000432689
84,7343.62,0.83662,0.69093,0.94821,0.6992,0.65194,0.67029,0.49592,1.00745,0.86713,0.99138,0.000422449,0.000422449,0.000422449
85,8557.36,0.83778,0.69213,0.94947,0.7007,0.64987,0.67113,0.49616,1.00733,0.86685,0.99129,0.000412246,0.000412246,0.000412246
